identifier,name,title,description,distribution,webService,dataDictionary,keyword,modified,publisher,contactPoint,mbox,accessLevel,landingPage,temporal,api,version,lastRefresh,bureauCode,programCode,accessLevelComment,accessUrl,format,license,spatial,theme,dataQuality,accrualPeriodicity,language,PrimaryITInvestmentUII,references,issued,systemOfRecords,hash
openfema-1,PublicAssistanceFundedProjectsSummaries,Public Assistance Funded Projects Summaries,"FEMA provides supplemental Federal disaster grant assistance for debris removal, emergency protective measures, and the repair, replacement, or restoration of disaster-damaged, publicly owned facilities and the facilities of certain Private Non-Profit (PNP) organizations through the Public Assistance (PA) Program (CDFA Number 97.036). The PA Program also encourages protection of these damaged facilities from future events by providing assistance for hazard mitigation measures during the recovery process. 

This dataset lists all public assistance recipients (sub-grantees) and a summary of the funded program support. This is raw, unedited data from FEMA's National Emergency Management Information System (NEMIS) and as such is subject to a small percentage of human error. The financial information is derived from NEMIS and not FEMA's official financial systems. 

Due to differences in reporting periods, status of obligations, and how business rules are applied, this financial information may differ slightly from official publication on public websites such as usaspending.gov; this dataset is not intended to be used for any official federal financial reporting.","http://www.fema.gov/api/open/v1/PublicAssistanceFundedProjectsSummaries.csv;csv,http://www.fema.gov/api/open/v1/PublicAssistanceFundedProjectsSummaries.json;json,http://www.fema.gov/api/open/v1/PublicAssistanceFundedProjectsSummaries.xml;xml",http://www.fema.gov/api/open/v1/PublicAssistanceFundedProjectsSummaries,https://www.fema.gov/developers-page/openfema-dataset-public-assistance-funded-projects-summaries-v1,"public, assistance, disaster, grant, funding, sub-grantees",2014-01-15T00:00:00.000Z,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,http://www.fema.gov/public-assistance-local-state-tribal-and-non-profit,,0,1,,024:70,024:039,,,,,,,,,,,,,,
openfema-4,HazardMitigationGrants,Hazard Mitigation Grants,"The dataset contains funded (financial obligation to grantee) Hazard Mitigation projects. Open projects still under pre-obligation processing are not represented. For more information on the Hazard Mitigation Program, please visit: http://www.fema.gov/hazard-mitigation-grant-program.  

This is raw, unedited data from FEMA's National Emergency Management Information System (NEMIS) and as such is subject to a small percentage of human error.  The financial information is derived from NEMIS and not FEMA's official financial systems.  Due to differences in reporting periods, status of obligations and how business rules are applied, this financial information may differ slightly from official publication on public websites such as usaspending.gov; this dataset is not intended to be used for any official federal financial reporting.","http://www.fema.gov/api/open/v1/HazardMitigationGrants.csv;csv,http://www.fema.gov/api/open/v1/HazardMitigationGrants.json;json,http://www.fema.gov/api/open/v1/HazardMitigationGrants.jsona;jsona",http://www.fema.gov/api/open/v1/HazardMitigationGrants,https://www.fema.gov/data-feeds/openfema-dataset-hazard-mitigation-grants-v1,"mitigation, grant, hazard, hmgp",2014-01-15T00:00:00.000Z,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,http://www.fema.gov/hazard-mitigation-grant-program,,0,1,,024:70,024:039,,,,,,,,,,,,,,
openfema-2,PublicAssistanceFundedProjectsDetails,Public Assistance Funded Projects Details,"The ""Public Assistance Funded Projects Details"" dataset contains obligated (financial obligation to grantee) Public Assistance projects, lists public assistance recipients designated as applicants in the data, and a list of every funded, individual project, called project worksheets. Open projects still under pre-obligation processing are not represented. 

FEMA provides supplemental Federal disaster grant assistance for debris removal, emergency protective measures, and the repair, replacement, or restoration of disaster-damaged, publicly owned facilities and the facilities of certain Private Non-Profit (PNP) organizations through the PA Program (CDFA Number 97.036). The PA Program also encourages protection of these damaged facilities from future events by providing assistance for hazard mitigation measures during the recovery process. 

This is raw, unedited data from FEMA's National Emergency Management Information System (NEMIS) and as such is subject to a small percentage of human error. The financial information is derived from NEMIS and not FEMA's official financial systems, and due to differences in reporting periods, status of obligations, and how business rules are applied, this financial information may differ slightly from official publication on public websites such as usaspending.gov. This dataset is not intended to be used for any official federal financial reporting.","http://www.fema.gov/api/open/v1/PublicAssistanceFundedProjectsDetails.csv;csv,http://www.fema.gov/api/open/v1/PublicAssistanceFundedProjectsDetails.json;json,http://www.fema.gov/api/open/v1/PublicAssistanceFundedProjectsDetails.jsona;jsona",http://www.fema.gov/api/open/v1/PublicAssistanceFundedProjectsDetails,https://www.fema.gov/data-feeds/openfema-dataset-public-assistance-funded-projects-details-v1,"public, assistance, mitigation, grants, sub-grantee, applicant, disaster, hazard",2014-01-15T00:00:00.000Z,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,http://www.fema.gov/public-assistance-local-state-tribal-and-non-profit,,0,1,,024:70,024:039,,,,,,,,,,,,,,
openfema-7,OpenFemaDataSets,OpenFEMA Datasets,The dataset lists the published datasets available via FEMA's API,"http://www.fema.gov/api/open/v1/OpenFemaDataSets.csv;csv,http://www.fema.gov/api/open/v1/OpenFemaDataSets.json;json,http://www.fema.gov/api/open/v1/OpenFemaDataSets.jsona;jsona",http://www.fema.gov/api/open/v1/OpenFemaDataSets,https://www.fema.gov/data-feeds/openfema-dataset-openfema-data-sets-v1,"open, data, fema, datasets, opengov, grant data, disasters, api",2014-01-13T00:00:00.000Z,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,http://www.fema.gov/openFEMA,,0,1,,024:70,024:039,,,,,,,,,,,,,,
openfema-9,PublicAssistanceApplicants,Public Assistance Applicants,"This dataset lists summarized Applicant (sub-grantee) information that supplements the ""Public Assistance Funded Projects Detail"" dataset. This is raw, unedited data from FEMA's National Emergency Management Information System (NEMIS) and as such is subject to a small percentage of human error. The financial information is derived from NEMIS and not FEMA's official financial systems. Due to differences in reporting periods, status of obligations and how business rules are applied, this financial information may differ slightly from official publication on public websites such as usaspending.gov; this dataset is not intended to be used for any official federal financial reporting.","http://www.fema.gov/api/open/v1/PublicAssistanceApplicants.csv;csv,http://www.fema.gov/api/open/v1/PublicAssistanceApplicants.json;json,http://www.fema.gov/api/open/v1/PublicAssistanceApplicants.jsona;jsona",http://www.fema.gov/api/open/v1/PublicAssistanceApplicants,https://www.fema.gov/data-feeds/openfema-dataset-public-assistance-applicants-v1,"public, assistance, grant, applicant, grantee, fund, projects fema, nemis, mitigation, fema",2014-01-15T00:00:00.000Z,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,http://www.fema.gov/public-assistance-local-state-tribal-and-non-profit,,0,1,,024:70,024:039,,,,,,,,,,,,,,
openfema-8,OpenFemaDataSetFields,OpenFEMA Data Set Fields,The dataset lists the fields for each of the published data sets available via the OpenFEMA APIs,"http://www.fema.gov/api/open/v1/OpenFemaDataSetFields.csv;csv,http://www.fema.gov/api/open/v1/OpenFemaDataSetFields.json;json,http://www.fema.gov/api/open/v1/OpenFemaDataSetFields.jsona;jsona",http://www.fema.gov/api/open/v1/OpenFemaDataSetFields,https://www.fema.gov/data-feeds/openfema-dataset-openfema-data-set-fields-v1,,2013-07-16T00:00:00.000Z,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,http://www.fema.gov/openFEMA,,0,1,,024:70,024:039,,,,,,,,,,,,,,
openfema-10,DisasterDeclarationsSummaries,Disaster Declarations Summaries,"FEMA Disaster Declarations Summary is a summarized dataset describing all federally declared disasters. This dataset lists all official FEMA Disaster Declarations, beginning with the first disaster declaration in 1953 and features all three disaster declaration types: major disaster, emergency, and fire management assistance. The dataset includes declared recovery programs and geographic areas (county not available before 1964; Fire Management records are considered partial due to historical nature of the dataset). 

Please note the unique structure of the disaster sequencing (due to a numbering system that originated in the 1950's-1970's):
0001-1999     Major Disaster Declaration
2000-2999     Fire Management
3000-3999     Emergency Declaration (Special Emergency)
4000-            Major Disaster Declaration

This is raw, unedited data from FEMA's National Emergency Management Information System (NEMIS) and as such is subject to a small percentage of human error. The dataset is primarily composed of historical data that was manually entered into NEMIS after it launched in 1998. The financial information is derived from NEMIS and not FEMA's official financial systems.

Due to differences in reporting periods, status of obligations, and how business rules are applied, this financial information may differ slightly from official publication on public websites such as usaspending.gov. This dataset is not intended to be used for any official federal financial reporting.
","http://www.fema.gov/api/open/v1/DisasterDeclarationsSummaries.csv;csv,http://www.fema.gov/api/open/v1/DisasterDeclarationsSummaries.json;json,http://www.fema.gov/api/open/v1/DisasterDeclarationsSummaries.jsona;jsona",http://www.fema.gov/api/open/v1/DisasterDeclarationsSummaries,http://www.fema.gov/data-feeds/openfema-dataset-disaster-declarations-summaries-v1,"disaster, declaration, fema, nemis, emergency",2014-01-13T00:00:00.000Z,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,http://www.fema.gov/disasters,,0,1,,024:70,024:039,,,,,,,,,,,,,,
openfema-13,HousingAssistanceRenters,Housing Assistance Renters,"This dataset lists aggregated, non-PII dataset of FEMA Housing Assistance Program for House Renters

The data was generated by FEMA's ECIM (Enterprise Coordination & Information Management) Reporting team. 

The dataset is primarily composed of data from Housing Assistance Program reporting authority from FEMA registration renters and owners within the state, county, zip where the registration is valid. 

This dataset contains aggregated, non-PII data  by generated FEMA's ECIM (Enterprise Coordination & Information Management) Reporting team to share data on the impact of the tornadoes precipitating DR 4117 at various geographic levels in Oklahoma, segmented by level of damage. Additional core data elements include:  number of applicants, county, zip code, inspections, severity of damage, assistance provided, and owner or renter. Please note: Average income information is available upon request. Income information is voluntary and self-reported, and is intended to be by household. Income is not used to determine eligibility.  This dataset is not intended to be an official federal report.

Please note: Average income information is available upon request. Income information is voluntary and self-reported, and is intended to be by household. Income is not used to determine eligibility.  This dataset is not intended to be an official federal report.

Citation: The agency's preferred citation for each dataset is included in its metadata. Users should also cite the date that data was accessed or retrieved from fema.gov and/or Data.gov. Finally, users must clearly state that ""FEMA and the Federal Government cannot vouch for the data or analyses derived from these data after the data have been retrieved from the Agency's website(s) and/or Data.gov.""

This dataset was generated on 6/26/2013

If you have media inquiries about this dataset please email the FEMA News Desk FEMA-News-Desk@dhs.gov or call (202) 646-3272.

For other general inquires contact the OpenFEMA team via email openfema@fema.dhs.gov
","http://www.fema.gov/api/open/v1/HousingAssistanceRenters.csv;csv,http://www.fema.gov/api/open/v1/HousingAssistanceRenters.json;json,http://www.fema.gov/api/open/v1/HousingAssistanceRenters.jsona;jsona",http://www.fema.gov/api/open/v1/HousingAssistanceRenters,https://www.fema.gov/data-feeds/openfema-dataset-housing-assistance-data-owners-v1,,2014-01-09T00:00:00.000Z,Federal Emergency Management Agency,OpenFEMA,mailto:openfema@fema.gov,public,http://www.fema.gov/disaster-survivor-assistance,,0,1,,024:70,024:039,,,,,,,,,,,,,,
openfema-11,HazardMitigationGrantProgramPropertyAcquisitions,Hazard Mitigation Grant Program Property Acquisitions,"This dataset lists properties from completed acquisition projects funded under the Hazard Mitigation Grant Program (HMGP). The HMGP provides grants to states and local governments to implement long-term hazard mitigation measures after a major disaster declaration. Acquisition projects funded under the Hazard Mitigation Grant Program (HMGP) are voluntary and one is under no obligation to sell their home. Acquisition projects are based on the principle of fair compensation for property. Property acquisitions present owners with an opportunity to recoup a large part of their investment in property that probably has lost some, if not most of its value due to damage after a disaster. Under the Stafford Act, any land purchased with Hazard Mitigation Grant Program funds must be restricted to open space, recreational, and wetlands management uses in perpetuity

Acquisition or Buyout projects, while 75 percent funded by FEMA, are administered by the State and local communities. FEMA does not buy properties directly from the property owners. Communities may offer homeowners who agree to participate in a buyout project up to the fair market value of the home before the disaster struck. A licensed appraiser hired by the community determines the fair market value. No one is obligated to sell their home; these are transactions and prices that both the property owner and communities agreed on. For More information on HMGP please visit http://www.fema.gov/hazard-mitigation-grant-program and HMGP FAQs http://www.fema.gov/hazard-mitigation-grant-programs-frequently-ask-questions. 

Missing values - In some cases the projects are closed and the data was simply not provided by the sub-grantee or the Grantee and/or entered into the HMGP system. It is likely available as part of the paper file which is considered the file of record. While it is strongly encouraged, it is not required for this data to be provided in the HMGP system for the project to be closed out.  For more information on the Hazard Mitigation Assistance - Property Acquisition (buyouts) visit http://www.fema.gov/application-development-process/hazard-mitigation-assistance-property-acquisition-buyouts. This dataset is not intended to be used for any official federal financial reporting.","http://www.fema.gov/api/open/v1/HazardMitigationGrantProgramPropertyAcquisitions.csv;csv,http://www.fema.gov/api/open/v1/HazardMitigationGrantProgramPropertyAcquisitions.json;json,http://www.fema.gov/api/open/v1/HazardMitigationGrantProgramPropertyAcquisitions.jsona;jsona",http://www.fema.gov/api/open/v1/HazardMitigationGrantProgramPropertyAcquisitions,http://www.fema.gov/data-feeds/openfema-dataset-hazard-mitigation-grant-program-property-acquisitions-v1,"mitigation, hmgp, property, buyouts, acquisitions, hma, hazard, assistance, fema, disaster",2014-01-13T00:00:00.000Z,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,https://www.fema.gov/hazard-mitigation-grant-program,,0,1,,024:70,024:039,,,,,,,,,,,,,,
openfema-12,HousingAssistanceOwners,Housing Assistance Owners,"This dataset lists aggregated, non-PII dataset of FEMA Housing Assistance Program for House Owners

The data was generated by FEMA's ECIM (Enterprise Coordination & Information Management) Reporting team. 

The dataset is primarily composed of data from Housing Assistance Program reporting authority from FEMA registration renters and owners within the state, county, zip where the registration is valid. 

This dataset contains aggregated, non-PII data  by generated FEMA's ECIM (Enterprise Coordination & Information Management) Reporting team to share data on the impact of the tornadoes precipitating DR 4117 at various geographic levels in Oklahoma, segmented by level of damage. Additional core data elements include:  number of applicants, county, zip code, inspections, severity of damage, assistance provided, and owner or renter. Please note: Average income information is available upon request. Income information is voluntary and self-reported, and is intended to be by household. Income is not used to determine eligibility.  This dataset is not intended to be an official federal report.

Please note: Average income information is available upon request. Income information is voluntary and self-reported, and is intended to be by household. Income is not used to determine eligibility.  This dataset is not intended to be an official federal report.

Citation: The agency's preferred citation for each dataset is included in its metadata. Users should also cite the date that data was accessed or retrieved from fema.gov and/or Data.gov. Finally, users must clearly state that ""FEMA and the Federal Government cannot vouch for the data or analyses derived from these data after the data have been retrieved from the Agency's website(s) and/or Data.gov.""

This dataset was generated on 6/26/2013

If you have media inquiries about this dataset please email the FEMA News Desk FEMA-News-Desk@dhs.gov or call (202) 646-3272.

For other general inquires contact the OpenFEMA team via email openfema@fema.dhs.gov
","http://www.fema.gov/api/open/v1/HousingAssistanceOwners.csv;csv,http://www.fema.gov/api/open/v1/HousingAssistanceOwners.json;json,http://www.fema.gov/api/open/v1/HousingAssistanceOwners.jsona;jsona",http://www.fema.gov/api/open/v1/HousingAssistanceOwners,https://www.fema.gov/data-feeds/openfema-dataset-housing-assistance-data-owners-v1,,2014-01-09T00:00:00.000Z,Federal Emergency Management Agency,OpenFEMA,openfema@fema.gov,public,http://www.fema.gov/disaster-survivor-assistance,,0,1,,024:70,024:039,,,,,,,,,,,,,,
